                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1081,                 3.7604,                 3.9528,                0.00197,                0.55738,                0.00926,                0.00204,                 3.4696,                 4.4018,                 4.1182,             0.00065608,             0.00065608,             0.00065608
                      2,                 2.2475,                  2.915,                 2.8248,                0.20988,                0.31148,                0.13728,                0.05391,                 2.0467,                  7.284,                 2.8312,              0.0013009,              0.0013009,              0.0013009
                      3,                 1.5718,                 2.0915,                 2.0814,                0.18492,                0.39344,                0.13499,                0.05847,                 1.8809,                 4.7426,                 2.4731,              0.0019238,              0.0019238,              0.0019238
                      4,                  1.193,                 1.6254,                 1.6788,                0.37083,                0.53279,                0.31496,                  0.164,                 1.5392,                 2.9061,                 1.9333,               0.001901,               0.001901,               0.001901
                      5,                  1.007,                 1.4119,                 1.4702,                0.56282,                0.53818,                0.56292,                0.39718,                 1.0568,                 1.8499,                 1.5618,               0.001868,               0.001868,               0.001868
                      6,                0.88322,                 1.2564,                 1.3516,                0.38781,                0.65574,                0.39691,                0.29386,                0.99755,                 1.8905,                 1.5382,               0.001835,               0.001835,               0.001835
                      7,                0.79519,                 1.1669,                 1.2697,                0.42171,                0.65574,                0.44184,                0.36824,                0.70764,                 2.3258,                 1.2261,               0.001802,               0.001802,               0.001802
                      8,                0.73706,                 1.0628,                  1.216,                0.47451,                0.68836,                0.58857,                0.51357,                0.64532,                 1.4619,                 1.1639,               0.001769,               0.001769,               0.001769
                      9,                0.68102,                 1.0302,                 1.1689,                0.50427,                0.67213,                0.63721,                 0.5367,                0.63893,                 1.5146,                 1.1557,               0.001736,               0.001736,               0.001736
                     10,                0.65602,                0.97358,                  1.139,                0.59606,                0.58197,                0.65872,                 0.5524,                0.67324,                 1.3881,                 1.1547,               0.001703,               0.001703,               0.001703
                     11,                0.61329,                0.93231,                  1.108,                0.39458,                0.84426,                0.48852,                0.42617,                0.54691,                 1.4827,                 1.0916,                0.00167,                0.00167,                0.00167
                     12,                0.59317,                0.89321,                 1.0922,                0.47671,                0.71684,                0.62058,                0.54975,                0.51196,                 1.2025,                 1.0555,               0.001637,               0.001637,               0.001637
                     13,                0.57943,                 0.8895,                 1.0783,                 0.5639,                0.53279,                0.64409,                0.56512,                0.52455,                 1.8715,                 1.0808,               0.001604,               0.001604,               0.001604
                     14,                0.54271,                0.83005,                 1.0528,                0.62706,                0.54918,                 0.6467,                0.58291,                0.54267,                 1.3204,                 1.0726,               0.001571,               0.001571,               0.001571
                     15,                0.53632,                0.81648,                 1.0475,                0.54883,                0.64754,                0.61945,                0.54985,                0.58973,                 1.4508,                 1.1062,               0.001538,               0.001538,               0.001538
                     16,                0.52254,                0.79913,                 1.0331,                0.62728,                0.53279,                0.66597,                0.60315,                0.49145,                 1.2025,                 1.0381,               0.001505,               0.001505,               0.001505
                     17,                0.51026,                0.75128,                 1.0211,                0.57187,                0.61475,                0.62125,                0.56719,                0.46201,                 1.3692,                 1.0364,               0.001472,               0.001472,               0.001472
                     18,                 0.5062,                0.75642,                 1.0209,                0.49991,                0.75384,                0.68017,                0.63698,                0.42236,                 1.2394,                0.98841,               0.001439,               0.001439,               0.001439
                     19,                0.48985,                 0.7366,                 1.0096,                0.55548,                0.60434,                0.66315,                0.61181,                0.43545,                  1.113,                0.99213,               0.001406,               0.001406,               0.001406
                     20,                0.46898,                0.70046,                0.99574,                 0.4871,                0.67213,                0.60171,                 0.5406,                0.49392,                 1.3574,                 1.0468,               0.001373,               0.001373,               0.001373
                     21,                0.46366,                0.70769,                0.99774,                0.55445,                0.59016,                0.61031,                0.56293,                0.41939,                 1.2053,                 1.0213,                0.00134,                0.00134,                0.00134
                     22,                0.45345,                 0.6799,                0.98487,                0.60194,                0.59836,                0.68263,                0.62909,                0.41064,                 1.0821,                0.98825,               0.001307,               0.001307,               0.001307
